epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
46	12.4131	16.0829	|	3.2149	0.7906	30.1370	0.0000	|	3.1351	0.9700	34.4595	0.0000	|  Best result at epoch 42
47	12.4311	18.5079	|	3.2343	0.6718	28.7671	0.0000	|	3.1726	0.8304	31.7568	0.0000	|  Best result at epoch 42
48	11.9307	15.5072	|	3.2246	0.8554	30.1370	0.0000	|	3.1826	1.0462	27.0270	0.0000	|  Best result at epoch 42
49	12.6988	18.3496	|	3.2288	0.6730	28.0822	0.0000	|	3.1869	0.8322	29.7297	0.0000	|  Best result at epoch 42
50	12.3245	16.9073	|	3.1802	0.7315	26.7123	0.0000	|	3.1394	0.9021	34.4595	0.0000	|  Best result at epoch 42
51	11.8317	16.3252	|	3.1791	0.7661	26.7123	0.0000	|	3.1318	0.9453	31.7568	0.0000	|  Best result at epoch 42
52	11.6240	16.9489	|	3.1848	0.7249	28.0822	0.0000	|	3.1302	0.8938	33.7838	0.0000	|  Best result at epoch 42
53	12.6417	19.7839	|	3.3172	0.6357	26.7123	0.0000	|	3.2990	0.7835	30.4054	0.0000	|  Best result at epoch 42
54	12.2844	16.9979	|	3.1800	0.7253	27.3973	0.0000	|	3.1075	0.8934	34.4595	0.0000	|  Best result at epoch 42
55	12.1378	16.4299	|	3.1933	0.7590	28.0822	0.0000	|	3.1009	0.9321	34.4595	0.0000	|  Best result at epoch 42
56	11.5586	18.1517	|	3.2141	0.6793	26.0274	0.0000	|	3.1405	0.8359	31.0811	0.0000	|  Best result at epoch 42
57	11.6981	18.5998	|	3.2313	0.6625	27.3973	0.0000	|	3.1805	0.8175	30.4054	0.0000	|  Best result at epoch 42
58	11.6676	18.3297	|	3.2241	0.6716	28.0822	0.0000	|	3.1835	0.8283	30.4054	0.0000	|  Best result at epoch 42
59	11.9801	16.6619	|	3.1698	0.7460	28.0822	0.0000	|	3.1316	0.9138	32.4324	0.0000	|  Best result at epoch 59
60	10.6243	20.5369	|	3.3695	0.6320	26.7123	0.0000	|	3.3316	0.7742	26.3514	0.0000	|  Best result at epoch 59
61	11.3601	19.7052	|	3.3075	0.6467	26.7123	0.0000	|	3.2647	0.7927	29.0541	0.0000	|  Best result at epoch 59
62	12.3355	19.0857	|	3.2746	0.6547	27.3973	0.0000	|	3.2218	0.8060	29.7297	0.0000	|  Best result at epoch 59
63	10.5020	15.6761	|	3.1910	0.8289	30.1370	0.0000	|	3.1393	1.0105	30.4054	0.0000	|  Best result at epoch 59
64	11.1953	17.4573	|	3.2112	0.7157	26.0274	0.0000	|	3.1545	0.8760	33.7838	0.0000	|  Best result at epoch 59
65	11.3333	16.5417	|	3.2203	0.7930	29.4521	0.0000	|	3.1360	0.9606	32.4324	0.0000	|  Best result at epoch 59
66	11.2587	20.4767	|	3.3452	0.6406	27.3973	0.0000	|	3.3449	0.7824	25.6757	0.0000	|  Best result at epoch 59
67	11.6520	16.5718	|	3.1780	0.7541	30.1370	0.0000	|	3.1566	0.9214	35.1351	0.0000	|  Best result at epoch 59
68	12.3940	18.5027	|	3.2335	0.6709	27.3973	0.0000	|	3.2146	0.8242	29.7297	0.0000	|  Best result at epoch 59
69	10.7430	16.2218	|	3.1972	0.7961	30.1370	0.0000	|	3.1509	0.9650	29.7297	0.0000	|  Best result at epoch 59
70	11.3419	16.4519	|	3.2085	0.7707	31.5068	0.0000	|	3.1324	0.9325	33.7838	0.0000	|  Best result at epoch 59
71	10.7138	17.1020	|	3.2101	0.7354	28.0822	0.0000	|	3.1544	0.8933	31.0811	0.0000	|  Best result at epoch 59
72	12.5461	19.1550	|	3.2724	0.6543	27.3973	0.0000	|	3.2421	0.8031	29.0541	0.0000	|  Best result at epoch 59
73	10.7328	15.5844	|	3.2638	0.8799	26.7123	0.0000	|	3.1555	1.0649	27.7027	0.0000	|  Best result at epoch 59
74	10.9639	19.4626	|	3.2893	0.6531	23.9726	0.0000	|	3.2911	0.8002	29.0541	0.0000	|  Best result at epoch 59
75	11.7926	16.7545	|	3.1999	0.7513	29.4521	0.0000	|	3.1395	0.9128	33.7838	0.0000	|  Best result at epoch 59
76	10.8839	17.3654	|	3.1926	0.7130	29.4521	0.0000	|	3.1533	0.8728	32.4324	0.0000	|  Best result at epoch 59
77	10.8899	18.6991	|	3.2620	0.6950	26.7123	0.0000	|	3.2729	0.8452	30.4054	0.0000	|  Best result at epoch 59
78	11.0357	15.8896	|	3.1860	0.8050	31.5068	0.0000	|	3.1212	0.9818	34.4595	0.0000	|  Best result at epoch 59
79	11.3828	16.4468	|	3.1884	0.7682	29.4521	0.0000	|	3.1043	0.9380	35.1351	0.0000	|  Best result at epoch 59
80	10.5175	17.6478	|	3.2064	0.7081	27.3973	0.0000	|	3.1806	0.8627	30.4054	0.0000	|  Best result at epoch 59
81	11.1267	17.5355	|	3.2172	0.7260	26.7123	0.0000	|	3.1503	0.8833	31.7568	0.0000	|  Best result at epoch 59
82	10.5527	18.3580	|	3.2337	0.6827	25.3425	0.0000	|	3.2163	0.8336	30.4054	0.0000	|  Best result at epoch 59
83	10.7955	16.0156	|	3.1607	0.7889	28.7671	0.0000	|	3.0857	0.9572	33.1081	0.0000	|  Best result at epoch 83
84	10.9301	17.8005	|	3.2138	0.6949	27.3973	0.0000	|	3.1528	0.8485	30.4054	0.0000	|  Best result at epoch 83
85	10.4640	17.1780	|	3.2002	0.7231	28.7671	0.0000	|	3.0919	0.8829	33.7838	0.0000	|  Best result at epoch 83
86	10.4198	18.4715	|	3.2415	0.6705	25.3425	0.0000	|	3.1881	0.8213	28.3784	0.0000	|  Best result at epoch 83
87	9.5608	18.4554	|	3.2329	0.6848	28.0822	0.0000	|	3.2047	0.8409	29.7297	0.0000	|  Best result at epoch 83
88	10.4089	18.9432	|	3.2600	0.6643	27.3973	0.0000	|	3.2366	0.8154	29.7297	0.0000	|  Best result at epoch 83
89	10.0830	16.7442	|	3.2254	0.7639	28.7671	0.0000	|	3.0884	0.9324	32.4324	0.0000	|  Best result at epoch 83
90	10.3387	18.0960	|	3.2390	0.7088	28.7671	0.0000	|	3.1613	0.8640	31.0811	0.0000	|  Best result at epoch 83
91	10.2174	15.7172	|	3.2385	0.8394	28.7671	0.0000	|	3.0849	1.0146	31.7568	0.0000	|  Best result at epoch 83
92	9.9578	18.2778	|	3.2425	0.6878	28.7671	0.0000	|	3.1424	0.8461	31.0811	0.0000	|  Best result at epoch 83
93	11.1628	19.1794	|	3.2778	0.6586	24.6575	0.0000	|	3.2299	0.8063	28.3784	0.0000	|  Best result at epoch 83
94	10.5437	18.6599	|	3.2630	0.6811	26.7123	0.0000	|	3.2072	0.8298	29.7297	0.0000	|  Best result at epoch 83
95	10.2618	18.2970	|	3.2476	0.6866	28.0822	0.0000	|	3.1822	0.8341	29.0541	0.0000	|  Best result at epoch 83
96	10.3739	18.4915	|	3.2631	0.6882	26.0274	0.0000	|	3.1890	0.8367	30.4054	0.0000	|  Best result at epoch 83
97	10.2184	18.4835	|	3.2714	0.6982	25.3425	0.0000	|	3.1871	0.8480	29.0541	0.0000	|  Best result at epoch 83
98	10.1270	17.5917	|	3.2294	0.7196	26.0274	0.0000	|	3.1452	0.8723	31.7568	0.0000	|  Best result at epoch 83
99	10.1421	16.3156	|	3.2582	0.8132	26.0274	0.0000	|	3.0837	0.9758	31.0811	0.0000	|  Best result at epoch 83
100	9.7215	16.6371	|	3.2360	0.7753	28.7671	0.0000	|	3.0946	0.9375	32.4324	0.0000	|  Best result at epoch 83
101	10.2119	16.1700	|	3.2187	0.7998	27.3973	0.0000	|	3.1050	0.9641	33.1081	0.0000	|  Best result at epoch 83
102	9.8552	15.6810	|	3.2730	0.8709	26.7123	0.0000	|	3.1151	1.0463	29.7297	0.0000	|  Best result at epoch 83
103	10.9962	16.4515	|	3.2131	0.7692	30.8219	0.0000	|	3.1129	0.9331	34.4595	0.0000	|  Best result at epoch 83
104	9.7793	17.7436	|	3.2483	0.7176	24.6575	0.0000	|	3.1604	0.8711	33.1081	0.0000	|  Best result at epoch 83
