epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
46	2.1625	1.1403	|	0.8784	0.6742	34.6154	0.0000	|	1.0006	0.7605	32.0755	0.0000	|  Best result at epoch 18
47	1.8029	1.4175	|	1.0274	0.8009	28.8462	0.0000	|	1.1270	0.8880	28.3019	0.0000	|  Best result at epoch 18
48	1.9419	2.4870	|	1.4323	1.1301	10.5769	0.0000	|	1.5272	1.2236	17.9245	0.0000	|  Best result at epoch 18
49	2.0559	0.9999	|	0.7796	0.5796	34.6154	0.0000	|	0.9423	0.6856	28.3019	0.0000	|  Best result at epoch 18
50	1.9597	1.0575	|	0.8092	0.6175	34.6154	0.0000	|	0.9608	0.7201	26.4151	0.0000	|  Best result at epoch 18
51	1.9498	1.1502	|	0.8533	0.6530	30.7692	0.0000	|	1.0214	0.7812	25.4717	0.0000	|  Best result at epoch 18
52	2.1053	1.0810	|	0.8225	0.6263	31.7308	0.0000	|	0.9771	0.7381	24.5283	0.0000	|  Best result at epoch 18
53	1.9191	1.0017	|	0.7863	0.5950	36.5385	0.0000	|	0.9241	0.6890	28.3019	0.0000	|  Best result at epoch 18
54	1.8916	0.8730	|	0.6943	0.4945	42.3077	0.0000	|	0.8230	0.5564	35.8491	0.0000	|  Best result at epoch 18
55	2.1463	1.0882	|	0.8237	0.6273	32.6923	0.0000	|	0.9660	0.7323	27.3585	0.0000	|  Best result at epoch 18
56	1.9296	1.0389	|	0.7949	0.6076	35.5769	0.0000	|	0.9345	0.7007	29.2453	0.0000	|  Best result at epoch 18
57	2.0930	1.1869	|	0.9075	0.7185	30.7692	0.0000	|	1.0263	0.8058	27.3585	0.0000	|  Best result at epoch 18
58	1.9559	1.0915	|	0.8250	0.6318	31.7308	0.0000	|	0.9798	0.7355	24.5283	0.0000	|  Best result at epoch 18
59	1.9030	1.0877	|	0.8423	0.6649	35.5769	0.0000	|	0.9958	0.7606	28.3019	0.0000	|  Best result at epoch 18
60	1.9895	1.2277	|	0.9120	0.7272	30.7692	0.0000	|	1.0856	0.8439	25.4717	0.0000	|  Best result at epoch 18
61	2.0023	1.3275	|	0.9728	0.7778	30.7692	0.0000	|	1.1159	0.8819	27.3585	0.0000	|  Best result at epoch 18
62	1.8815	1.0931	|	0.8346	0.6527	32.6923	0.0000	|	1.0114	0.7693	25.4717	0.0000	|  Best result at epoch 18
63	1.9625	0.9716	|	0.7605	0.5811	39.4231	0.0000	|	0.9020	0.6587	33.9623	0.0000	|  Best result at epoch 18
64	2.0449	1.0228	|	0.8099	0.6260	36.5385	0.0000	|	0.9436	0.7037	33.0189	0.0000	|  Best result at epoch 18
65	2.0439	1.1517	|	0.8871	0.6946	30.7692	0.0000	|	1.0248	0.7891	25.4717	0.0000	|  Best result at epoch 18
66	1.9101	1.2530	|	0.9309	0.7355	27.8846	0.0000	|	1.0801	0.8460	26.4151	0.0000	|  Best result at epoch 18
67	1.8269	1.7013	|	1.1277	0.8987	29.8077	0.0000	|	1.2863	1.0265	30.1887	0.0000	|  Best result at epoch 18
68	2.1367	1.0911	|	0.8600	0.6693	33.6538	0.0000	|	0.9814	0.7473	28.3019	0.0000	|  Best result at epoch 18
69	1.9817	1.0200	|	0.8058	0.6236	36.5385	0.0000	|	0.9464	0.7105	32.0755	0.0000	|  Best result at epoch 18
70	1.9348	1.4629	|	1.0373	0.8273	29.8077	0.0000	|	1.1353	0.9168	25.4717	0.0000	|  Best result at epoch 18
71	1.9437	1.1701	|	0.8840	0.6926	29.8077	0.0000	|	1.0338	0.8024	26.4151	0.0000	|  Best result at epoch 18
72	1.8530	0.9948	|	0.7776	0.5958	36.5385	0.0000	|	0.9327	0.6917	30.1887	0.0000	|  Best result at epoch 18
73	1.8586	1.3689	|	0.9908	0.7863	28.8462	0.0000	|	1.1152	0.8888	28.3019	0.0000	|  Best result at epoch 18
74	1.9236	1.7599	|	1.1504	0.9205	27.8846	0.0000	|	1.2733	1.0283	27.3585	0.0000	|  Best result at epoch 18
75	1.8941	0.9934	|	0.7636	0.5768	37.5000	0.0000	|	0.9147	0.6709	29.2453	0.0000	|  Best result at epoch 18
76	1.8609	1.2052	|	0.9125	0.7088	31.7308	0.0000	|	1.0406	0.8005	27.3585	0.0000	|  Best result at epoch 18
77	1.7450	1.3719	|	0.9799	0.7637	30.7692	0.0000	|	1.1079	0.8716	28.3019	0.0000	|  Best result at epoch 18
78	1.8300	1.0872	|	0.8226	0.6265	30.7692	0.0000	|	0.9562	0.7257	25.4717	0.0000	|  Best result at epoch 18
79	1.9117	1.1089	|	0.8351	0.6344	29.8077	0.0000	|	0.9649	0.7450	27.3585	0.0000	|  Best result at epoch 18
80	1.8072	1.0650	|	0.8078	0.6112	34.6154	0.0000	|	0.9433	0.7104	28.3019	0.0000	|  Best result at epoch 18
81	1.7853	1.1993	|	0.8740	0.6628	28.8462	0.0000	|	1.0078	0.7824	26.4151	0.0000	|  Best result at epoch 18
82	1.8723	1.0843	|	0.8246	0.6282	29.8077	0.0000	|	0.9476	0.7227	26.4151	0.0000	|  Best result at epoch 18
83	1.8436	1.0060	|	0.7628	0.5661	36.5385	0.0000	|	0.8865	0.6494	33.0189	0.0000	|  Best result at epoch 18
84	1.8912	1.3035	|	0.9147	0.6969	28.8462	0.0000	|	1.0488	0.8231	27.3585	0.0000	|  Best result at epoch 18
85	1.8610	1.2292	|	0.8892	0.6815	28.8462	0.0000	|	1.0140	0.7992	27.3585	0.0000	|  Best result at epoch 18
86	1.7816	1.0772	|	0.8037	0.6087	35.5769	0.0000	|	0.9435	0.7108	28.3019	0.0000	|  Best result at epoch 18
87	1.9188	1.1586	|	0.8808	0.6795	30.7692	0.0000	|	1.0010	0.7758	30.1887	0.0000	|  Best result at epoch 18
88	1.8712	1.1905	|	0.8916	0.6852	28.8462	0.0000	|	1.0084	0.7812	29.2453	0.0000	|  Best result at epoch 18
89	1.7755	1.2274	|	0.8906	0.6798	30.7692	0.0000	|	1.0229	0.7903	27.3585	0.0000	|  Best result at epoch 18
90	1.7855	1.0205	|	0.7822	0.5884	36.5385	0.0000	|	0.9185	0.6661	31.1321	0.0000	|  Best result at epoch 18
91	1.7722	0.9772	|	0.7402	0.5547	39.4231	0.0000	|	0.8795	0.6318	32.0755	0.0000	|  Best result at epoch 18
92	1.9022	1.2350	|	0.9020	0.6966	27.8846	0.0000	|	1.0426	0.8078	24.5283	0.0000	|  Best result at epoch 18
93	1.7591	1.5230	|	1.0359	0.8157	27.8846	0.0000	|	1.1494	0.9226	26.4151	0.0000	|  Best result at epoch 18
94	1.8621	0.9941	|	0.7499	0.5611	37.5000	0.0000	|	0.8957	0.6495	30.1887	0.0000	|  Best result at epoch 18
95	1.7675	1.5276	|	1.0253	0.7863	26.9231	0.0000	|	1.1505	0.9193	27.3585	0.0000	|  Best result at epoch 18
96	1.7773	1.4197	|	0.9805	0.7514	26.9231	0.0000	|	1.1038	0.8755	26.4151	0.0000	|  Best result at epoch 18
97	1.7678	1.1799	|	0.8516	0.6480	31.7308	0.0000	|	1.0000	0.7716	24.5283	0.0000	|  Best result at epoch 18
98	1.8214	1.0347	|	0.7741	0.5860	34.6154	0.0000	|	0.9289	0.6961	27.3585	0.0000	|  Best result at epoch 18
99	1.7928	1.1682	|	0.8606	0.6617	31.7308	0.0000	|	1.0054	0.7790	26.4151	0.0000	|  Best result at epoch 18
100	1.6624	1.3325	|	0.9365	0.7207	30.7692	0.0000	|	1.0962	0.8602	26.4151	0.0000	|  Best result at epoch 18
101	1.8039	1.3292	|	0.9314	0.7172	32.6923	0.0000	|	1.1098	0.8639	26.4151	0.0000	|  Best result at epoch 18
102	1.7075	1.3114	|	0.9180	0.7080	32.6923	0.0000	|	1.0946	0.8575	26.4151	0.0000	|  Best result at epoch 18
103	1.9010	1.5389	|	1.0497	0.8096	25.9615	0.0000	|	1.1607	0.9206	28.3019	0.0000	|  Best result at epoch 18
104	1.8468	1.4789	|	1.0072	0.7847	26.9231	0.0000	|	1.1385	0.8915	25.4717	0.0000	|  Best result at epoch 18
105	1.7606	1.1477	|	0.8513	0.6477	33.6538	0.0000	|	0.9973	0.7564	28.3019	0.0000	|  Best result at epoch 18
106	1.7847	1.0733	|	0.8189	0.6214	36.5385	0.0000	|	0.9497	0.7091	28.3019	0.0000	|  Best result at epoch 18
107	1.7415	1.1358	|	0.8489	0.6497	31.7308	0.0000	|	0.9959	0.7574	26.4151	0.0000	|  Best result at epoch 18
108	1.6952	1.1250	|	0.8376	0.6383	32.6923	0.0000	|	0.9902	0.7519	27.3585	0.0000	|  Best result at epoch 18
109	1.7556	1.7319	|	1.1069	0.8500	25.9615	0.0000	|	1.2243	0.9932	28.3019	0.0000	|  Best result at epoch 18
110	1.7877	1.3563	|	0.9450	0.7323	30.7692	0.0000	|	1.1079	0.8643	25.4717	0.0000	|  Best result at epoch 18
111	1.7930	1.7168	|	1.0885	0.8322	25.9615	0.0000	|	1.2415	0.9845	26.4151	0.0000	|  Best result at epoch 18
112	1.8839	1.0231	|	0.7859	0.5993	41.3462	0.0000	|	0.9018	0.6731	33.0189	0.0000	|  Best result at epoch 18
113	1.8456	1.0397	|	0.7925	0.6097	36.5385	0.0000	|	0.9350	0.6998	30.1887	0.0000	|  Best result at epoch 18
114	1.7304	1.2425	|	0.8953	0.6959	29.8077	0.0000	|	1.0659	0.8177	27.3585	0.0000	|  Best result at epoch 18
115	1.6804	1.2626	|	0.8990	0.6973	31.7308	0.0000	|	1.0796	0.8339	28.3019	0.0000	|  Best result at epoch 18
116	1.7013	1.1409	|	0.8416	0.6452	31.7308	0.0000	|	1.0059	0.7630	27.3585	0.0000	|  Best result at epoch 18
117	1.8361	1.4807	|	1.0075	0.7843	26.9231	0.0000	|	1.1568	0.9169	26.4151	0.0000	|  Best result at epoch 18
