epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
46	4.8903	4.9132	|	1.8324	0.9075	24.6809	0.0000	|	1.8455	1.0115	22.3479	0.0000	|  Best result at epoch 7
47	4.9174	4.8356	|	1.8404	0.9842	24.5390	0.0000	|	1.9155	1.1180	21.9236	0.0000	|  Best result at epoch 7
48	4.8596	4.8809	|	1.8173	0.8995	24.2553	0.0000	|	1.8412	1.0069	22.0651	0.0000	|  Best result at epoch 7
49	4.8504	4.9172	|	1.8750	1.0396	23.8298	0.0000	|	1.9795	1.1916	22.0651	0.0000	|  Best result at epoch 7
50	4.9132	5.0400	|	1.8312	0.8624	27.0922	0.0000	|	1.8178	0.9584	22.6308	0.0000	|  Best result at epoch 7
51	4.8924	4.8633	|	1.8666	1.0267	24.1135	0.0000	|	1.9396	1.1607	22.3479	0.0000	|  Best result at epoch 7
52	4.7974	4.8744	|	1.8728	1.0458	24.1135	0.0000	|	1.9591	1.1845	21.4993	0.0000	|  Best result at epoch 7
53	4.7303	4.8146	|	1.8431	0.9861	24.5390	0.0000	|	1.9098	1.1193	22.7723	0.0000	|  Best result at epoch 7
54	4.7848	4.8931	|	1.8761	1.0816	23.5461	0.0000	|	2.0168	1.2398	21.9236	0.0000	|  Best result at epoch 7
55	4.7606	4.7862	|	1.7512	0.8707	25.5319	0.0000	|	1.8102	0.9977	23.0552	0.0000	|  Best result at epoch 55
56	4.8517	4.8251	|	1.8568	1.0454	25.3901	0.0000	|	1.9752	1.1932	22.0651	0.0000	|  Best result at epoch 55
57	4.9197	4.6790	|	1.7810	0.9426	24.9645	0.0000	|	1.8601	1.0709	23.6209	0.0000	|  Best result at epoch 55
58	4.9303	4.7772	|	1.8203	0.9585	24.9645	0.0000	|	1.8827	1.0834	23.7624	0.0000	|  Best result at epoch 55
59	4.9200	4.9786	|	1.7989	0.8489	28.7943	0.0000	|	1.7936	0.9440	22.7723	0.0000	|  Best result at epoch 55
60	4.8195	4.8293	|	1.7760	0.8689	28.6525	0.0000	|	1.7973	0.9720	22.4894	0.0000	|  Best result at epoch 55
61	4.8518	4.8845	|	1.8728	1.0059	23.8298	0.0000	|	1.9335	1.1326	21.3579	0.0000	|  Best result at epoch 55
62	4.8406	4.7432	|	1.7862	0.9088	25.5319	0.0000	|	1.8257	1.0218	23.7624	0.0000	|  Best result at epoch 55
63	4.8669	4.7639	|	1.8161	0.9459	24.6809	0.0000	|	1.8601	1.0665	23.4795	0.0000	|  Best result at epoch 55
64	4.8304	4.7965	|	1.8372	0.9711	24.5390	0.0000	|	1.8963	1.0986	21.6407	0.0000	|  Best result at epoch 55
65	4.8461	4.7653	|	1.8100	0.9651	24.2553	0.0000	|	1.8865	1.1028	23.3380	0.0000	|  Best result at epoch 55
66	4.8271	4.7174	|	1.7744	0.9467	24.9645	0.0000	|	1.8819	1.0934	23.6209	0.0000	|  Best result at epoch 55
67	4.7858	4.7630	|	1.8248	1.0347	23.9716	0.0000	|	1.9824	1.2064	22.7723	0.0000	|  Best result at epoch 55
68	4.9042	4.7968	|	1.8441	1.0184	24.9645	0.0000	|	1.9503	1.1603	22.0651	0.0000	|  Best result at epoch 55
69	4.7527	4.9522	|	1.8841	1.0914	24.1135	0.0000	|	2.0589	1.2642	21.3579	0.0000	|  Best result at epoch 55
70	4.8983	4.7259	|	1.8105	0.9743	24.8227	0.0000	|	1.9081	1.1126	23.4795	0.0000	|  Best result at epoch 55
71	4.7887	4.7306	|	1.8016	0.9636	24.3972	0.0000	|	1.8881	1.1047	23.3380	0.0000	|  Best result at epoch 55
72	4.7231	4.9982	|	1.8968	1.0835	23.5461	0.0000	|	2.0199	1.2418	21.2164	0.0000	|  Best result at epoch 55
73	4.8140	4.7761	|	1.8142	0.9556	23.9716	0.0000	|	1.8669	1.0800	23.7624	0.0000	|  Best result at epoch 55
74	4.7872	4.9008	|	1.8695	1.0064	24.2553	0.0000	|	1.9301	1.1345	22.4894	0.0000	|  Best result at epoch 55
