,Test MMRE,Avg. Training Loss
0,1.0803082112688571,0.0037112313439138234
1,0.4777496305915217,0.0025051216461609953
2,1.3925672395154833,0.002638199472321982
3,0.6598827010020614,0.0019982700162616217
4,0.4039444809934746,0.0020844756647037635
5,0.9563293935265392,0.001897966264789973
6,0.7780992681548621,0.0018041810437448714
7,0.4349231037000815,0.001975236255307927
8,0.9833960940440496,0.0020020795912530863
9,0.3787656661123037,0.002052305326000542
10,0.41304371318159,0.0016077486537764535
11,0.4673668921614687,0.001583683961622515
