,Test MMRE,Avg. Training Loss
0,0.5931280027492903,0.0035844878293573856
1,0.6708629957051017,0.002675206111355995
2,1.2162106605945155,0.002462645697717865
3,0.8923949695250485,0.00180248588634034
4,0.954829075782618,0.0023877405154053124
5,1.856898227147758,0.002357668134694298
6,1.3870845625642687,0.0025560541117253402
7,0.44926651131827383,0.002393959400554498
8,0.44403696603840215,0.0025046430275930715
9,0.4732031285529956,0.0020236355524199706
10,0.7951058398699388,0.002183823147788644
11,0.791248372773407,0.0020387988809185725
