,Test MMRE,Avg. Training Loss
0,0.7974944255590715,0.004056971638929099
1,0.9939781071928641,0.0033676827698945998
2,0.8804067061972564,0.0027772864082362503
3,0.8676689241805838,0.0027927997335791587
4,0.8383968932278179,0.00278337731724605
5,0.7375802824735055,0.0026067174691706894
6,0.7931353199916581,0.0034975283523090185
7,0.6774196846182113,0.0030824021599255504
8,0.7598377939624091,0.002658911251928657
9,0.8525585876087899,0.00274470764095895
10,1.0775242723628051,0.0024391705670859663
11,0.9663030946178844,0.002614404048072174
