,Test MMRE,Avg. Training Loss
0,0.8228037415170356,0.0031279147680227954
1,0.5341605265183669,0.002975434885416744
2,0.39125100415396064,0.0023873730008772604
3,0.7420509507095343,0.0023785416341993507
4,0.4187236293464115,0.0022071447586781826
5,0.4277793681739192,0.0021950601221760735
6,0.5452869703110895,0.001962579890933932
7,0.3858891105965564,0.0018896123399661684
8,0.3825782127188225,0.001688587048027495
9,0.5005377001668277,0.0016913163016204526
10,0.4329707180885108,0.0016754285097263302
11,0.4263317392599818,0.0016947228361845412
