,Test MMRE,Avg. Training Loss
0,0.5428453689285865,0.005792915530037135
1,0.4938284676657834,0.0035307240206748245
2,0.5286768086565038,0.0033545277372468265
3,0.7436192440024266,0.0031227172061335296
4,0.5282602349761873,0.0038464352779556065
5,0.5512159355760863,0.0032593050971627237
6,0.6550096817469845,0.003542903656489216
7,1.010704541578889,0.002973040478536859
8,0.6677908560571572,0.0023598874744493515
9,1.0661915534486373,0.002900517877424136
10,0.7824543903116137,0.002865085541270673
11,0.7706924104907861,0.002814995846711099
