,Test MMRE
0,1.6188389945050907
1,1.8001720472368306
2,2.274859127937816
3,1.8572591017517777
4,1.9127697662916034
5,1.8383291309388976
6,2.2967474923288034
7,2.457930769861883
8,2.667547841595175
9,3.125555244119217
