,Test MMRE
0,2.6009286143595265
1,2.0625533532972136
2,1.7036930314664331
3,2.267288015113168
4,1.929488942470579
5,1.7779421910887496
6,1.7167568291271371
7,1.8764614131678605
8,4.763214243842023
9,2.2463848240939632
