,Test MMRE
0,1.6996134096401452
1,1.4525347366397543
2,1.1011212455565014
3,1.0854197549022209
4,1.0870167878033083
5,1.247628530612065
6,1.3401252103080463
7,1.3101366425539847
8,1.6109939514508829
9,2.130632617139267
