,Test MMRE
0,1.3412744936240077
1,0.9049413163361519
2,0.8284666192528136
3,0.9340248124547846
4,0.6496961755781537
5,0.7189122857181011
6,0.6875353039811469
7,0.8655743486403177
8,0.7045786879285111
9,0.9760914811674781
