,Test MMRE
0,1.3996963266593714
1,0.9326269867209097
2,1.2317351640667766
3,1.0530248323921114
4,1.095237636162589
5,1.1906129036409159
6,1.3412610174467166
7,1.3265713080763817
8,2.0211622816665717
9,0.9024097146466374
