,Predictions,True labels
0,0.08799079805612564,0.1
1,0.04151744395494461,0.02
2,0.05552569031715393,0.01
3,0.0598088875412941,0.1
4,0.04946986585855484,0.1
5,0.0179347675293684,0.01
6,0.00909848976880312,0.01
7,0.02795635350048542,0.01
8,0.03467446565628052,0.01
9,0.036557041108608246,0.01
10,0.02455431967973709,0.01
11,0.011367986910045147,0.01
12,0.06100037693977356,0.03
13,0.09602774679660797,0.06
14,0.18171939253807068,0.15
15,0.23944908380508423,0.4
16,0.02794828452169895,0.01
17,0.334257572889328,0.3
18,0.09363283216953278,0.08
19,0.013486223295331001,0.01
20,0.027606558054685593,0.01
21,0.021202940493822098,0.04
22,0.5794975161552429,0.47
23,0.05411557853221893,0.03
24,0.007896875031292439,0.02
25,0.03848671540617943,0.01
26,0.03214512765407562,0.01
27,0.02905014343559742,0.1
28,0.042830124497413635,0.02
29,0.016452539712190628,0.01
30,0.008504444733262062,0.01
31,0.21021491289138794,0.15
32,0.028426701202988625,0.01
33,0.12160061299800873,0.16
34,0.3008120656013489,0.2
35,0.07098391652107239,0.1
36,0.07800816744565964,0.08
37,0.06692339479923248,0.04
38,0.0726718083024025,0.1
39,0.043555647134780884,0.01
40,0.144794300198555,0.1
41,0.09808851778507233,0.1
42,0.07609900087118149,0.1
43,0.07221680879592896,0.05
44,0.5922914147377014,0.47
45,0.11699159443378448,0.1
46,0.06245505064725876,0.1
47,0.09713007509708405,0.1
48,0.051282841712236404,0.06
49,0.21568657457828522,0.3
50,0.04726503789424896,0.05
51,0.03705130144953728,0.03
52,0.07170303910970688,0.08
53,0.06642866879701614,0.1
54,0.025510022416710854,0.06
55,0.06242027133703232,0.06
56,0.013583692722022533,0.03
57,0.07238642871379852,0.1
58,0.6845213174819946,0.6
59,0.20287097990512848,0.2
60,0.20534244179725647,0.2
61,0.03236149623990059,0.02
62,0.012936287559568882,0.01
63,1.1238155364990234,1.0
64,0.04448481649160385,0.02
65,0.04448948800563812,0.01
66,0.04705055058002472,0.03
67,0.03816919028759003,0.01
68,0.05138632655143738,0.05
69,0.02175564505159855,0.02
70,0.09414935857057571,0.08
71,0.06930825859308243,0.1
72,0.04006670415401459,0.01
73,0.027001066133379936,0.05
74,0.041728612035512924,0.02
75,0.01973040960729122,0.01
76,0.05225241929292679,0.06
77,0.09308259934186935,0.08
78,0.0329049751162529,0.04
79,0.05425659194588661,0.02
80,0.03611043840646744,0.04
81,0.017638802528381348,0.01
82,0.02612922526896,0.02
83,0.03207281604409218,0.02
84,0.007884585298597813,0.01
85,0.006495046429336071,0.01
86,0.0169761274009943,0.01
87,0.14372298121452332,0.15
88,0.05026613920927048,0.02
89,0.041664764285087585,0.08
90,0.028283054009079933,0.04
91,-0.008220766671001911,0.01
92,0.03975731134414673,0.04
93,0.024632267653942108,0.04
94,0.06173942983150482,0.1
95,0.03962711989879608,0.01
96,0.010248730890452862,0.02
97,0.03864360600709915,0.01
98,0.054165251553058624,0.08
99,0.08618896454572678,0.03
100,0.0390632264316082,0.05
101,0.06279114633798599,0.08
102,0.0383576862514019,0.15
103,0.041468873620033264,0.06
104,0.05053413286805153,0.05
105,0.03839735686779022,0.02
106,0.024144237861037254,0.02
107,0.7031344175338745,0.6
108,0.04714855179190636,0.01
109,0.05223704129457474,0.01
110,0.06474243849515915,0.06
111,0.10296342521905899,0.06
112,0.11216090619564056,0.1
113,0.07327058166265488,0.1
114,0.048745088279247284,0.05
115,0.07649856060743332,0.06
116,0.026643963530659676,0.06
117,0.04843554645776749,0.02
118,0.026039430871605873,0.04
119,0.053008921444416046,0.04
120,0.04974894970655441,0.04
121,0.025942998006939888,0.04
122,0.04980861395597458,0.1
123,0.04950743913650513,0.02
124,0.03622148185968399,0.06
125,0.05108964443206787,0.03
126,0.04846750944852829,0.04
127,0.0300531517714262,0.04
128,0.06879183650016785,0.08
129,0.04683919996023178,0.07
130,0.06850931793451309,0.04
131,0.04628361016511917,0.01
132,0.029029805213212967,0.04
133,0.05740325152873993,0.04
134,0.022694377228617668,0.01
135,0.022800741717219353,0.02
136,0.03849334269762039,0.02
137,0.028897566720843315,0.02
138,0.08272574096918106,0.06
139,0.04998166114091873,0.04
140,0.04323199391365051,0.04
141,0.01615893468260765,0.02
142,0.030985211953520775,0.04
143,0.05077025666832924,0.06
144,0.05643902346491814,0.02
145,0.008311417885124683,0.01
146,0.031864725053310394,0.01
147,0.06879407167434692,0.1
148,0.043792590498924255,0.04
149,0.048856474459171295,0.02
150,0.032288651913404465,0.06
151,0.021519916132092476,0.01
152,0.054483696818351746,0.06
153,0.04881126061081886,0.06
154,0.05049018934369087,0.06
155,0.05919454246759415,0.06
156,0.020919030532240868,0.01
157,0.04311264306306839,0.01
158,0.024772336706519127,0.02
159,0.04012008011341095,0.01
160,0.08304956555366516,0.02
161,0.031134355813264847,0.01
162,0.02878178469836712,0.03
163,0.02006721869111061,0.08
164,0.03469330817461014,0.04
165,0.0765775665640831,0.1
166,0.025707926601171494,0.03
167,0.0317017138004303,0.01
168,0.03128328546881676,0.03
169,0.016959577798843384,0.01
170,0.01141833420842886,0.05
171,0.014571038074791431,0.01
172,0.028283854946494102,0.01
173,0.04184592515230179,0.05
174,0.04178883135318756,0.04
175,0.1185545101761818,0.08
176,0.0266457237303257,0.1
177,0.09509249031543732,0.12
178,0.04471927881240845,0.03
179,0.0736159011721611,0.1
180,0.09570223093032837,0.1
181,0.016642620787024498,0.01
182,0.007016480900347233,0.01
183,0.050073932856321335,0.06
184,0.03961566463112831,0.04
185,0.030323563143610954,0.03
186,0.13735732436180115,0.2
187,0.29860401153564453,0.3
188,0.025160271674394608,0.02
189,0.008143455721437931,0.01
190,0.08791149407625198,0.14
191,0.022135227918624878,0.01
192,0.03254513442516327,0.02
193,0.06139720231294632,0.06
194,0.12738266587257385,0.06
195,0.047162868082523346,0.02
196,0.05135709419846535,0.01
