,Test MMRE,Avg. Training Loss
0,0.7495176764094227,0.01810476386311407
1,1.5527494827429542,0.0033345238129817403
2,3.050607844144993,0.002285623184063149
3,0.9569155355760207,0.0019349485804440872
4,0.5159641772389434,0.0014884309779035346
5,0.9446057019577849,0.001593119041324232
6,0.8559092046510028,0.0012641830473178427
7,0.515583301755777,0.0012134601402438569
8,0.6881402967736081,0.0011704499590951874
9,0.5397999464046387,0.0010171298232233646
10,0.8159087684859211,0.0011550559209688206
11,0.589821232105827,0.0008996614208682535
