,Test MMRE,Avg. Training Loss
0,1.2938051878203016,0.03310185727201218
1,1.2590882357989257,0.017641787302588245
2,1.957280709172806,0.01554881798027317
3,1.2712737168340633,0.011050498031589695
4,1.224574794654554,0.008283938249367725
5,1.1475209803482156,0.005944741245787662
6,1.2091443174648804,0.005007515913725409
7,4.03572011015559,0.004259969707367722
8,2.3414435975153336,0.003564863534004183
9,2.7630043790727443,0.0028280815518613436
10,2.421076773210532,0.0026630365941319404
11,1.3760445273604596,0.0024332403089805106
