,Test MMRE,Avg. Training Loss
0,0.9125879464877976,0.02004912610631436
1,0.9632728459158292,0.004418881356250495
2,0.9354950465969051,0.002207970826420933
3,0.9971067722481504,0.001986032009590417
4,0.8987277690450557,0.0015251509932568297
5,0.8820865158233101,0.0015614722151076421
6,0.7184281359530158,0.0015066926943836734
7,0.7733349188800074,0.0013452134071849286
8,0.7544454456979616,0.0013717482652282342
9,0.9074880385047032,0.0012077626527752727
10,0.7750664742661346,0.0010732323868433015
11,1.0136072217245344,0.0011425257299561052
