,Test MMRE,Avg. Training Loss
0,0.37373421355273184,0.007581964752700349
1,0.38250334874579783,0.0014283124683777603
2,0.5478537756900647,0.0013313725890563518
3,0.39489901045913267,0.0013602995146136504
4,0.3747198296171662,0.0012601576547956828
5,0.44880421569963036,0.0012982509970959543
6,0.4230236681668382,0.0012801107479114735
7,0.417832034382675,0.0010942317145015818
8,0.4080512123182416,0.0009388458668995141
9,0.42866669970221427,0.0008051319529344751
10,0.4574461226645661,0.0007367184830593143
11,0.4272542244411613,0.000682645951746963
