,Test MMRE,Avg. Training Loss
0,0.6997312782434718,0.007002514464682408
1,1.1897136491341214,0.0022182122920639813
2,0.6984282071226398,0.001859401396724943
3,0.5835794358078957,0.0016674534095206706
4,0.857684783862762,0.0013578231127619107
5,0.6727248375207874,0.001171371530336047
6,0.6571227128556727,0.0008953457322216186
7,0.7149112623883411,0.0007868788126696968
8,0.8596314882474279,0.0006891644206459648
9,0.9559190726646668,0.0006493875786402361
10,1.0461859219364629,0.0005789487496171681
11,0.7583743911919832,0.0005304821692763982
