,Test MMRE,Avg. Training Loss
0,0.834826497733593,0.010389755177953259
1,0.8399350626394153,0.0034369437175703886
2,0.7619327540664623,0.003108421151524439
3,0.9368001108678679,0.002682002910961008
4,1.3639567330324402,0.0025074988712215666
5,0.9757567114196718,0.002449164756914733
6,0.8454195490262161,0.002242402903580723
7,0.8632477030313264,0.0018534669083108627
8,0.8322533530959239,0.0016426938124400688
9,0.8435351444253077,0.001488866227427791
10,0.8412205179280136,0.0014949970794786648
11,0.8441265652538277,0.001467472298884779
